reservationID,bundleID,purchaserID,reservationStatus,claimCode,reservationDate,weatherCondition
1,1,31,no-show,COM2020_001,2024-11-15,Sunny
2,1,32,no-show,COM2020_002,2024-11-15,Cloudy
3,3,33,no-show,COM2020_003,2024-11-15,Rain
4,3,34,no-show,COM2020_004,2024-11-15,Sunny
5,5,35,no-show,COM2020_005,2024-11-15,Cloudy
6,5,36,no-show,COM2020_006,2024-11-15,Rain
7,7,37,no-show,COM2020_007,2024-11-15,Sunny
8,7,38,no-show,COM2020_008,2024-11-15,Cloudy
9,9,39,no-show,COM2020_009,2024-11-15,Rain
10,9,40,no-show,COM2020_010,2024-11-15,Sunny
11,11,41,no-show,COM2020_011,2024-12-15,Cloudy
12,11,42,no-show,COM2020_012,2024-12-15,Rain
13,13,43,no-show,COM2020_013,2024-12-15,Sunny
14,13,44,no-show,COM2020_014,2024-12-15,Cloudy
15,15,45,no-show,COM2020_015,2024-12-15,Rain
16,15,46,no-show,COM2020_016,2024-12-15,Sunny
17,17,47,no-show,COM2020_017,2024-12-15,Cloudy
18,17,48,no-show,COM2020_018,2024-12-15,Rain
19,19,49,no-show,COM2020_019,2024-12-15,Sunny
20,19,50,no-show,COM2020_020,2024-12-15,Cloudy
21,21,51,no-show,COM2020_021,2025-01-15,Rain
22,21,52,no-show,COM2020_022,2025-01-15,Sunny
23,23,53,no-show,COM2020_023,2025-01-15,Cloudy
24,23,54,no-show,COM2020_024,2025-01-15,Rain
25,25,55,no-show,COM2020_025,2025-01-15,Sunny
26,25,56,no-show,COM2020_026,2025-01-15,Cloudy
27,27,57,no-show,COM2020_027,2025-01-15,Rain
28,27,58,no-show,COM2020_028,2025-01-15,Sunny
29,29,59,no-show,COM2020_029,2025-01-15,Cloudy
30,29,60,no-show,COM2020_030,2025-01-15,Rain
31,31,31,no-show,COM2020_031,2025-02-15,Sunny
32,31,32,no-show,COM2020_032,2025-02-15,Cloudy
33,33,33,no-show,COM2020_033,2025-02-15,Rain
34,33,34,no-show,COM2020_034,2025-02-15,Sunny
35,35,35,no-show,COM2020_035,2025-02-15,Cloudy
36,35,36,no-show,COM2020_036,2025-02-15,Rain
37,37,37,no-show,COM2020_037,2025-02-15,Sunny
38,37,38,no-show,COM2020_038,2025-02-15,Cloudy
39,39,39,no-show,COM2020_039,2025-02-15,Rain
40,39,40,no-show,COM2020_040,2025-02-15,Sunny
41,41,41,no-show,COM2020_041,2025-03-15,Cloudy
42,41,42,no-show,COM2020_042,2025-03-15,Rain
43,43,43,no-show,COM2020_043,2025-03-15,Sunny
44,43,44,no-show,COM2020_044,2025-03-15,Cloudy
45,45,45,no-show,COM2020_045,2025-03-15,Rain
46,45,46,no-show,COM2020_046,2025-03-15,Sunny
47,47,47,no-show,COM2020_047,2025-03-15,Cloudy
48,47,48,no-show,COM2020_048,2025-03-15,Rain
49,49,49,no-show,COM2020_049,2025-03-15,Sunny
50,49,50,no-show,COM2020_050,2025-03-15,Cloudy
51,51,51,no-show,COM2020_051,2025-04-15,Rain
52,51,52,no-show,COM2020_052,2025-04-15,Sunny
53,53,53,no-show,COM2020_053,2025-04-15,Cloudy
54,53,54,no-show,COM2020_054,2025-04-15,Rain
55,55,55,no-show,COM2020_055,2025-04-15,Sunny
56,55,56,no-show,COM2020_056,2025-04-15,Cloudy
57,57,57,no-show,COM2020_057,2025-04-15,Rain
58,57,58,no-show,COM2020_058,2025-04-15,Sunny
59,59,59,no-show,COM2020_059,2025-04-15,Cloudy
60,59,60,no-show,COM2020_060,2025-04-15,Rain
61,61,31,no-show,COM2020_061,2025-05-15,Sunny
62,61,32,no-show,COM2020_062,2025-05-15,Cloudy
63,63,33,no-show,COM2020_063,2025-05-15,Rain
64,63,34,no-show,COM2020_064,2025-05-15,Sunny
65,65,35,no-show,COM2020_065,2025-05-15,Cloudy
66,65,36,no-show,COM2020_066,2025-05-15,Rain
67,67,37,no-show,COM2020_067,2025-05-15,Sunny
68,67,38,no-show,COM2020_068,2025-05-15,Cloudy
69,69,39,no-show,COM2020_069,2025-05-15,Rain
70,69,40,no-show,COM2020_070,2025-05-15,Sunny
71,71,41,no-show,COM2020_071,2025-06-15,Cloudy
72,71,42,no-show,COM2020_072,2025-06-15,Rain
73,73,43,no-show,COM2020_073,2025-06-15,Sunny
74,73,44,no-show,COM2020_074,2025-06-15,Cloudy
75,75,45,no-show,COM2020_075,2025-06-15,Rain
76,75,46,no-show,COM2020_076,2025-06-15,Sunny
77,77,47,no-show,COM2020_077,2025-06-15,Cloudy
78,77,48,no-show,COM2020_078,2025-06-15,Rain
79,79,49,no-show,COM2020_079,2025-06-15,Sunny
80,79,50,no-show,COM2020_080,2025-06-15,Cloudy
81,81,51,no-show,COM2020_081,2025-07-15,Rain
82,81,52,no-show,COM2020_082,2025-07-15,Sunny
83,83,53,no-show,COM2020_083,2025-07-15,Cloudy
84,83,54,no-show,COM2020_084,2025-07-15,Rain
85,85,55,no-show,COM2020_085,2025-07-15,Sunny
